w,c1,c2,num_particles,max_iterations,trial,target_iteration,status
0.1,1.5,1.5,20,100,1,4.0,Reached
0.1,1.5,1.5,20,100,2,4.0,Reached
0.1,1.5,1.5,20,100,3,5.0,Reached
0.1,1.5,1.5,20,100,4,4.0,Reached
0.1,1.5,1.5,20,100,5,4.0,Reached
0.1,1.5,1.5,20,100,6,4.0,Reached
0.1,1.5,1.5,20,100,7,4.0,Reached
0.1,1.5,1.5,20,100,8,3.0,Reached
0.1,1.5,1.5,20,100,9,4.0,Reached
0.1,1.5,1.5,20,100,10,3.0,Reached
0.1,1.5,1.5,20,100,11,4.0,Reached
0.1,1.5,1.5,20,100,12,4.0,Reached
0.1,1.5,1.5,20,100,13,4.0,Reached
0.1,1.5,1.5,20,100,14,5.0,Reached
0.1,1.5,1.5,20,100,15,4.0,Reached
0.1,1.5,1.5,20,100,16,4.0,Reached
0.1,1.5,1.5,20,100,17,4.0,Reached
0.1,1.5,1.5,20,100,18,2.0,Reached
0.1,1.5,1.5,20,100,19,3.0,Reached
0.1,1.5,1.5,20,100,20,4.0,Reached
0.1,1.5,1.5,20,100,21,3.0,Reached
0.1,1.5,1.5,20,100,22,3.0,Reached
0.1,1.5,1.5,20,100,23,4.0,Reached
0.1,1.5,1.5,20,100,24,4.0,Reached
0.1,1.5,1.5,20,100,25,4.0,Reached
0.1,1.5,1.5,20,100,26,4.0,Reached
0.1,1.5,1.5,20,100,27,4.0,Reached
0.1,1.5,1.5,20,100,28,4.0,Reached
0.1,1.5,1.5,20,100,29,4.0,Reached
0.1,1.5,1.5,20,100,30,4.0,Reached
0.3,1.5,1.5,20,100,1,5.0,Reached
0.3,1.5,1.5,20,100,2,5.0,Reached
0.3,1.5,1.5,20,100,3,6.0,Reached
0.3,1.5,1.5,20,100,4,5.0,Reached
0.3,1.5,1.5,20,100,5,5.0,Reached
0.3,1.5,1.5,20,100,6,5.0,Reached
0.3,1.5,1.5,20,100,7,5.0,Reached
0.3,1.5,1.5,20,100,8,5.0,Reached
0.3,1.5,1.5,20,100,9,4.0,Reached
0.3,1.5,1.5,20,100,10,6.0,Reached
0.3,1.5,1.5,20,100,11,5.0,Reached
0.3,1.5,1.5,20,100,12,5.0,Reached
0.3,1.5,1.5,20,100,13,5.0,Reached
0.3,1.5,1.5,20,100,14,7.0,Reached
0.3,1.5,1.5,20,100,15,6.0,Reached
0.3,1.5,1.5,20,100,16,5.0,Reached
0.3,1.5,1.5,20,100,17,7.0,Reached
0.3,1.5,1.5,20,100,18,5.0,Reached
0.3,1.5,1.5,20,100,19,5.0,Reached
0.3,1.5,1.5,20,100,20,5.0,Reached
0.3,1.5,1.5,20,100,21,6.0,Reached
0.3,1.5,1.5,20,100,22,5.0,Reached
0.3,1.5,1.5,20,100,23,7.0,Reached
0.3,1.5,1.5,20,100,24,6.0,Reached
0.3,1.5,1.5,20,100,25,5.0,Reached
0.3,1.5,1.5,20,100,26,6.0,Reached
0.3,1.5,1.5,20,100,27,6.0,Reached
0.3,1.5,1.5,20,100,28,5.0,Reached
0.3,1.5,1.5,20,100,29,7.0,Reached
0.3,1.5,1.5,20,100,30,5.0,Reached
0.5,1.5,1.5,20,100,1,9.0,Reached
0.5,1.5,1.5,20,100,2,10.0,Reached
0.5,1.5,1.5,20,100,3,9.0,Reached
0.5,1.5,1.5,20,100,4,10.0,Reached
0.5,1.5,1.5,20,100,5,8.0,Reached
